"no_reg","pilihan"
"202018737","Teman "
"211000001","Media Promosi Cetak (Poster, Flyer, Brosur)"
"211000001","Forum Diskusi Online"
"211004525","Jejaring Sosial"
"211004525","Teman "
"231000085","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000157","Website infopmb.itpln.ac.id"
"231000834","Teman "
"231000886","Jejaring Sosial"
"231000886","Website infopmb.itpln.ac.id"
"231000886","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001180","Teman "
"231001241","Guru / Sekolah"
"231001422","Website infopmb.itpln.ac.id"
"231001460","Website infopmb.itpln.ac.id"
"231001658","Jejaring Sosial"
"231002333","Email / SMS Broadcast"
"231002438","Teman "
"231002438","Website infopmb.itpln.ac.id"
"231002438","Media Cetak (Surat Kabar, Koran, Majalah)"
"231002438","Guru / Sekolah"
"231002848","Website infopmb.itpln.ac.id"
"231002848","Jejaring Sosial"
"231002986","Website infopmb.itpln.ac.id"
"231003055","Website infopmb.itpln.ac.id"
"231003055","Jejaring Sosial"
"231003055","Guru / Sekolah"
"231003198","Teman "
"231003198","Jejaring Sosial"
"231004420","Guru / Sekolah"
"231007318","Media Promosi Cetak (Poster, Flyer, Brosur)"
"232000011","Website infopmb.itpln.ac.id"
"232000011","Teman "
"232000024","Media Promosi Cetak (Poster, Flyer, Brosur)"
"232000037","Teman "
"232000091","Media Cetak (Surat Kabar, Koran, Majalah)"
"232000120","Website infopmb.itpln.ac.id"
"232000128","Website infopmb.itpln.ac.id"
"232000147","Teman "
"232000147","Website infopmb.itpln.ac.id"
"232000147","Jejaring Sosial"
"232000156","Jejaring Sosial"
"232000156","Teman "
"232000156","Media Promosi Cetak (Poster, Flyer, Brosur)"
"232000187","Jejaring Sosial"
"232000187","Teman "
"232000187","Email / SMS Broadcast"
"232000187","Website infopmb.itpln.ac.id"
"232000188","Forum Diskusi Online"
"232002157","Website infopmb.itpln.ac.id"
"232002157","Forum Diskusi Online"
"232002157","Jejaring Sosial"
"232002157","Media Promosi Cetak (Poster, Flyer, Brosur)"
"232002157","Teman "
"241000010","Website infopmb.itpln.ac.id"
"241000011","Teman "
"241000012","Website infopmb.itpln.ac.id"
"241000013","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000015","Website infopmb.itpln.ac.id"
"241000016","Website infopmb.itpln.ac.id"
"241000017","Website infopmb.itpln.ac.id"
"241000018","Guru / Sekolah"
"241000019","Website Lain"
"241000020","Website infopmb.itpln.ac.id"
"241000021","Website Lain"
"241000021","Website infopmb.itpln.ac.id"
"241000022","Teman "
"241000022","Website infopmb.itpln.ac.id"
"241000024","Website Lain"
"241000025","Website infopmb.itpln.ac.id"
"241000027","Jejaring Sosial"
"241000028","Media Elektronik (Televisi, Radio)"
"241000031","Website infopmb.itpln.ac.id"
"241000035","Jejaring Sosial"
"241000036","Website infopmb.itpln.ac.id"
"241000037","Jejaring Sosial"
"241000038","Website infopmb.itpln.ac.id"
"241000039","Website infopmb.itpln.ac.id"
"241000039","Teman "
"241000042","Website infopmb.itpln.ac.id"
"241000042","Jejaring Sosial"
"241000046","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000049","Website infopmb.itpln.ac.id"
"241000049","Jejaring Sosial"
"241000051","Website Lain"
"241000051","Jejaring Sosial"
"241000051","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000052","Forum Diskusi Online"
"241000053","Teman "
"241000054","Website infopmb.itpln.ac.id"
"241000055","Jejaring Sosial"
"241000055","Website infopmb.itpln.ac.id"
"241000056","Teman "
"241000057","Website infopmb.itpln.ac.id"
"241000060","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000061","Media Elektronik (Televisi, Radio)"
"241000062","Website infopmb.itpln.ac.id"
"241000062","Jejaring Sosial"
"241000064","Jejaring Sosial"
"241000064","Website infopmb.itpln.ac.id"
"241000068","Website infopmb.itpln.ac.id"
"241000069","Jejaring Sosial"
"241000069","Website infopmb.itpln.ac.id"
"241000070","Website Lain"
"241000071","Jejaring Sosial"
"241000071","Teman "
"241000072","Teman "
"241000075","Website infopmb.itpln.ac.id"
"241000075","Teman "
"241000076","Jejaring Sosial"
"241000076","Media Cetak (Surat Kabar, Koran, Majalah)"
"241000077","Teman "
"241000077","Jejaring Sosial"
"241000079","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000079","Jejaring Sosial"
"241000081","Jejaring Sosial"
"241000082","Teman "
"241000083","Website infopmb.itpln.ac.id"
"241000084","Website infopmb.itpln.ac.id"
"241000084","Media Elektronik (Televisi, Radio)"
"241000086","Jejaring Sosial"
"241000087","Teman "
"241000087","Website infopmb.itpln.ac.id"
"241000094","Website infopmb.itpln.ac.id"
"241000095","Jejaring Sosial"
"241000096","Website infopmb.itpln.ac.id"
"241000099","Media Promosi Cetak (Poster, Flyer, Brosur)"
"241000100","HIMDA"
"241000100","Website infopmb.itpln.ac.id"
"241000100","Jejaring Sosial"
"241000100","Website Lain"
"241000100","Guru / Sekolah"
